"Your Kindle Notes For:",,,
"EIN TOR ZU EURER WELT: WIE ICH ALS AUTIST MEINE GEFÜHLE LIEBEN LERNTE - MIT EINEM VORWORT VON TONY ATTWOOD (GERMAN EDITION)",,,
"by Aaron Wahl",,,
"Free Kindle instant preview:",,,
"https://a.co/giBYSam",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 783","","Allerdings waren wir sehr unterschiedlich. Ich wollte zum Beispiel immer mit Papa Fahrradtouren machen, während du nie Lust auf solche Unternehmungen hattest. Bewegung war dir ein Graus."
"Highlight (Yellow)","Location 787","","Solche Sachen hast du oft gemacht. Du hast auch immer meine Süßigkeiten geklaut."
"Highlight (Yellow)","Location 788","","Den ganzen Tag hütete ich dieses Marzipan wie meinen Augapfel."
"Highlight (Yellow)","Location 789","","Am nächsten Morgen fand ich nur noch die Verpackungsreste. Ich war natürlich stinksauer. Aber du schienst nicht mal ein schlechtes Gewissen zu haben. Das sind Schlaglichter aus unserer Kindheit, an die ich mich erinnere. Ansonsten muss ich zugeben, dass ich aus dieser Zeit nur noch sehr wenig weiß."
"Highlight (Yellow)","Location 805","","Stattdessen entfernten wir uns voneinander. Ich hätte es mir anders gewünscht."
"Highlight (Yellow)","Location 809","","Das finde ich einleuchtend. In der Natur ist völlig klar, dass Tiere, die von Feinden überrascht werden, sich umdrehen und wegrennen."
"Highlight (Yellow)","Location 819","","Am Anfang meines letzten Schuljahres machte ich ein dreiwöchiges Praktikum bei einer IT-Firma. Im Abschlussbericht, den ich in der Schule abgeben musste, schrieb ich: »Ich fand dieses Praktikum einfach super, ich habe sehr viel gelernt […] Die Menschen, mit denen ich zusammengearbeitet habe, waren sehr nett und freundlich zu mir und mir auch sehr sympathisch.«"
"Highlight (Yellow)","Location 821","","Rückblickend kommt mir das etwas zu euphorisch vor, aber im Großen und Ganzen entsprach es der Wahrheit."
"Highlight (Yellow)","Location 828","","Ich selbst kann mit diesem Wort nicht viel anfangen, weil ich nie sicher bin, ob es positiv oder negativ gemeint ist, aber ich weiß, dass es oft für Leute verwendet wird, die schlaksig sind, Brillen tragen und eine Leidenschaft für Computerspiele haben. All das traf auf Ulrich zu."
"Highlight (Yellow)","Location 836","","Zum Beispiel, dass ich durchaus in der Lage bin, mich im Austausch mit anderen Menschen zu behaupten."
"Highlight (Yellow)","Location 836","","Dass ich in Gruppen agieren kann. Dass auch ich zu leitenden Aufgaben fähig bin."
"Highlight (Yellow)","Location 837","","Tony Attwood, einer der weltweit bekanntesten Experten für Asperger-Autismus, sagt, es ist ein übliches Muster bei Autisten, dass sie sich in Fantasy-Welten und Online-Rollenspiele flüchten."
"Highlight (Yellow)","Location 838","","Er sagt auch, dass sie es tun sollen, wenn sie das Bedürfnis dazu haben, weil der Zufluchtsort der virtuellen Universen ihnen dabei hilft, Reize zu verarbeiten, die sie in der realen Welt überfordern."
"Highlight (Yellow)","Location 840","","Schade, dass mir diese Betrachtungsweise im Teenageralter noch nicht bekannt war."
"Highlight (Yellow)","Location 843","","Das hatte ein endloses Gezeter und Genörgel zur Folge, das meine Entspannung beim Spielen nachhaltig beeinträchtigte. Drohungen, mir den Computer wegzunehmen oder das Internet abzuklemmen, machten die Situation noch unangenehmer."
"Highlight (Yellow)","Location 848","","An dem ich das Gefühl hatte, von Nutzen zu sein. Sobald ich dieses Gefühl auch im analogen Alltag hatte, traten Rollenspiele sofort in den Hintergrund, ohne dass ich sie wirklich vermisste. Ihre Bedeutung schrumpfte zum Fluchtpunkt für tatenlose Momente."
"Highlight (Yellow)","Location 856","","Im Chat gab es keine Mimik, die ich falsch deuten konnte."
"Highlight (Yellow)","Location 872","","Rückblickend gab es auch hier Situationen, in denen ich die Grenzen der Geduld meiner Mitspieler mit meinem autistischen Verhalten sprengte."
"Highlight (Yellow)","Location 874","","Wir ergänzten uns perfekt. Er war impulsiv, ich bedächtig, er handelte intuitiv, ich vorausschauend."
"Highlight (Yellow)","Location 879","","berechenbar"
"Highlight (Yellow)","Location 889","","die Beherztheit der Damage Dealer, die Geistesgegenwart der Tanks sowie die Umsicht der Heiler."
"Highlight (Yellow)","Location 890","","Ich hatte in dieser Schlacht alle Hände voll zu tun."
"Highlight (Yellow)","Location 891","","Meine minutiöse Vorausplanung war von der Ungeduld eines bockigen kleinen Zwergs in Grund und Boden gestampft worden."
"Highlight (Yellow)","Location 892","","Ich erlebe es zumindest häufig, dass ich meine Zuhörer mit der Ausführlichkeit meiner Erklärungen überfordere beziehungsweise ihre Geduld und Aufnahmefähigkeit erschöpfe."
"Highlight (Yellow)","Location 902","","Jahrhundert vor der Rodungsoffensive eines bauwütigen Kaufmanns bewahrt worden wären."
"Highlight (Yellow)","Location 906","","An der Natur mag ich, dass sie sich nicht verstellt. Dass sie nur lärmt und poltert, wenn sie wirklich in Aufruhr ist, sonst aber sprichwörtlich in sich selbst ruht."
"Highlight (Yellow)","Location 908","","Mit ihren Werbetafeln, Glitzerfassaden und Straßenschluchten geben sie vor, die Natur bezwungen zu haben. Das ist natürlich Quatsch, denn ohne die Ressourcen der Natur gäbe es sie ja gar nicht."
"Highlight (Yellow)","Location 912","","Man weiß, woran man ist. Bei Pflanzen ist es subtiler."
"Highlight (Yellow)","Location 914","","zuhören. Denn Pflanzen können nur von sich selbst erzählen – ob sie krank sind oder gesund, ob sie müde sind oder vor Kraft strotzen."
"Highlight (Yellow)","Location 915","","Trotzdem kommt es mir im Nachhinein so vor, als hätten mich die Bäume im Wandsbeker Gehölz warnen wollen, als an jenem Nachmittag im Oktober 2005 dieses düstere Schweigen von ihnen ausging."
"Highlight (Yellow)","Location 917","","Ich hatte ein mulmiges Gefühl."
"Highlight (Yellow)","Location 936","","»Dann ist das blöde Gefühl vergessen, und du bist froh, dass dir keine Kinderwagenräder mehr in die Hacken rollen.«"
"Highlight (Yellow)","Location 943","","»Stehen bleiben und keinen Mucks!«, »Schnauze halten!«, »Uhr her!«, »Handy her!«, »Portemonnaie her!« und noch mal »Keinen Mucks!«."
"Highlight (Yellow)","Location 945","","Ich wäre gar nicht in der Lage gewesen, etwas zu sagen oder um Hilfe zu rufen."
"Highlight (Yellow)","Location 946","","Ich weiß noch, wie fahrig ich war, während ich mein Handy und meine Geldbörse aus der Hosentasche angelte."
"Highlight (Yellow)","Location 947","","Die Angreifer entrissen mir gierig ihre Beute und befahlen mir dann, mich flach auf den Boden zu legen: »Los, runter!"
"Highlight (Yellow)","Location 949","","Mein Gesicht im Dreck. Den modrig erdigen Geruch des feuchten Herbstlaubs in der Nase."
"Highlight (Yellow)","Location 952","","Zwar mit verdreckten Klamotten und ohne Portemonnaie und Handy, aber immerhin lebendig."
"Highlight (Yellow)","Location 960","","Wollten sie mich dafür bestrafen, dass ich sie nicht daran gehindert hatte, sich strafbar zu machen?"
"Highlight (Yellow)","Location 962","","Als die Stiefelsohlen vom Hals aufwärts drängten, löste sich meine Starre."
"Highlight (Yellow)","Location 967","","Sekunden wurden zu Stunden, Panik zu Resignation, Schmerz zu Taubheit."
"Highlight (Yellow)","Location 967","","Bis heute bin ich nicht sicher, wie lange das Ganze dauerte."
"Highlight (Yellow)","Location 973","","Im Schneckentempo stemmte ich mich hoch."
"Highlight (Yellow)","Location 976","","Auch die Bäume schienen in Schockstarre zu sein. Sie rahmten meinen Weg wie stumme Totenwächter. Kein Blatt fiel. Das düstere Schweigen hielt an."
"Highlight (Yellow)","Location 981","","lückenlos"
"Highlight (Yellow)","Location 982","","Wahrscheinlich berichtete ich wie üblich ein bisschen zu ausführlich, doch die Ärztin hörte geduldig zu."
"Highlight (Yellow)","Location 983","","Nachdem ich meine Erzählung beendet hatte, wurde ich lange und eingehend untersucht."
"Highlight (Yellow)","Location 986","","»Habe ich was falsch gemacht?«, fragte ich."
"Highlight (Yellow)","Location 987","","»Nein, Sie haben alles richtig gemacht«, antwortete sie leise. Nach einer kurzen Pause fügte sie hinzu: »Aber das war knapp. Wenn Sie Ihren Kopf nicht geschützt hätten, wären Sie jetzt vielleicht tot.«"
"Highlight (Yellow)","Location 988","","Meine Mutter wurde benachrichtigt, die Polizei ebenfalls."
"Highlight (Yellow)","Location 989","","Trotz meiner ausführlichen Beschreibungen blieb die Anzeige gegen Unbekannt, die aufgenommen wurde, ohne Folgen."
"Highlight (Yellow)","Location 991","","Der Überfall hinterließ Spuren. Am Körper ebenso wie in der Seele."
"Highlight (Yellow)","Location 994","","Diese Reaktion ist insofern seltsam, als dass der Überfall nicht auf der Busfahrt, sondern erst danach stattfand, aber sie gibt Aufschluss darauf, wie sehr die Erfahrung in meiner Wahrnehmung auf ihr gesamtes räumliches und zeitliches Umfeld abfärbte."
"Highlight (Yellow)","Location 1001","","anderen Menschen erschwerte dieser Umstand zusätzlich. Jetzt musste ich mich nicht mehr nur mit den Gedanken herumschlagen, ob ich die Reaktionen der anderen richtig deutete, sondern zusätzlich die Fragen meiner Gesprächspartner beantworten, ob ich nervös sei."
"Highlight (Yellow)","Location 1002","","Meist erklärte ich, dass mein Zittern nicht zwangsläufig mit Nervosität zu tun hatte, sondern ein Tick sei."
