"Your Kindle Notes For:",,,
"HARRY POTTER UND DER STEIN DER WEISEN (GERMAN EDITION)",,,
"by J.K. Rowling, Klaus Fritz",,,
"Free Kindle instant preview:",,,
"https://a.co/cMoDk39",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 53","","Die ganze Hütte erzitterte. Mit einem Mal saß Harry kerzengerade da und starrte auf die Tür."
"Highlight (Yellow)","Page 54","","Hinter ihnen hörten sie ein lautes Krachen. Onkel Vernon kam hereingestolpert."
"Highlight (Yellow)","Page 55","","Harry blickte hinauf in sein grimmiges, wildes Gesicht und sah, dass sich die Fältchen um seine Käferaugen zu einem Lächeln gekräuselt hatten."
"Highlight (Yellow)","Page 55","","»Ich verlange, dass Sie auf der Stelle verschwinden!«, sagte er. »Das ist Hausfriedensbruch!«"
"Highlight (Yellow)","Page 55","","Oberpflaume«,"
"Highlight (Yellow)","Page 55","","Onkel Vernon gab abermals ein merkwürdiges Geräusch von sich, wie eine getretene Maus."
"Highlight (Yellow)","Page 55","","Aus der Innentasche seines schwarzen Umhangs zog er eine etwas eingedellte Schachtel. Harry öffnete sie mit zitternden Fingern. Ein großer, klebriger Schokoladenkuchen kam zum Vorschein, auf dem mit grünem Zuckerguss Herzlichen Glückwunsch, Harry geschrieben stand."
"Highlight (Yellow)","Page 56","","»Wohl wahr, hab mich nicht vorgestellt. Rubeus"
"Highlight (Yellow)","Page 56","","einen Kupferkessel, eine platt gedrückte Packung Würstchen, einen Schürhaken, eine Teekanne, einige ineinandergesteckte Becher und eine Flasche mit einer bernsteinfarbenen Flüssigkeit, aus der er sich einen Schluck genehmigte, bevor der Tee zu kochen begann."
"Highlight (Yellow)","Page 56","","»Dudley, du rührst nichts von dem an, was er dir gibt.«"
"Highlight (Yellow)","Page 57","","»Nenn mich Hagrid«, sagte er, »das tun alle. Und wie ich dir schon gesagt hab, bin ich der Schlüsselhüter von Hogwarts – über Hogwarts weißt du natürlich alles.«"
"Highlight (Yellow)","Page 57","","Hagrid sah schockiert aus."
"Highlight (Yellow)","Page 57","","»Denen sollte es leidtun. Ich wusste, dass du deine Briefe nicht kriegst, aber ich hätt nie gedacht, dass du nicht mal von Hogwarts weißt, das is ja zum Heulen!"
"Highlight (Yellow)","Page 57","","»ALLES WAS?«, donnerte Hagrid. »Nu mal langsam!«"
"Highlight (Yellow)","Page 57","","Er war aufgesprungen. In seinem Zorn schien er die ganze Hütte auszufüllen. Die Dursleys kauerten sich an die Wand."
"Highlight (Yellow)","Page 58","","zitterte jede Silbe vor Entrüstung."
"Highlight (Yellow)","Page 58","","Ich war auch dabei! Ich hab gesehen, wie Dumbledore ihn dort hingelegt hat, Dursley! Und du hast ihn Harry all die Jahre vorenthalten?« »Was vorenthalten?«, fragte Harry begierig."
"Highlight (Yellow)","Page 58","","Tante Petunia schnappte vor Schreck nach Luft."
"Highlight (Yellow)","Page 58","","»Aach, kocht eure Köpfe doch im eigenen Saft, ihr beiden«, sagte Hagrid. »Harry, du bist ein Zauberer.«"
"Highlight (Yellow)","Page 59","","Ächzen"
"Highlight (Yellow)","Page 59","","»Und ein verdammt guter noch dazu, würd ich sagen, sobald du mal ’n bisschen Übung hast. Was solltest du auch anders sein, mit solchen Eltern wie deinen? Und ich denk, ’s ist an der Zeit, dass du deinen Brief liest.«"
"Highlight (Yellow)","Page 59","","Schulleiter: Albus"
"Highlight (Yellow)","Page 59","","Sehr geehrter Mr Potter, wir freuen uns, Ihnen mitteilen zu können, dass Sie an der Hogwarts-Schule für Hexerei und Zauberei aufgenommen sind. Beigelegt finden Sie eine Liste aller benötigten Bücher und Ausrüstungsgegenstände. Das Schuljahr beginnt am 1. September. Wir erwarten Ihre Eule spätestens am 31. Juli.   Mit freundlichen Grüßen   Minerva McGonagall Stellvertretende Schulleiterin"
"Highlight (Yellow)","Page 60","","da fällt mir doch ein"
"Highlight (Yellow)","Page 60","","Wetter ist fürchterlich. Hoffe, Sie sind wohlauf."
"Highlight (Yellow)","Page 60","","»Wo war ich gerade?«, sagte Hagrid, doch in diesem Augenblick trat Onkel Vernon, immer noch aschfahl, doch sehr zornig aussehend, in das Licht des Kaminfeuers."
"Highlight (Yellow)","Page 61","","»Ein Muggel«, sagte Hagrid, »so nennen wir Leute wie ihn, die nicht zu den Magiern gehören."
"Highlight (Yellow)","Page 61","","vermaledeite"
"Highlight (Yellow)","Page 61","","Missgeburt."
"Highlight (Yellow)","Page 61","","Es schien, als ob sie das schon all die Jahre hatte loswerden wollen."
"Highlight (Yellow)","Page 61","","Harry war ganz bleich geworden. Sobald er seine Stimme gefunden hatte, sagte er: »In die Luft gejagt? Du hast mir erzählt, dass sie bei einem Autounfall gestorben sind!«"
"Highlight (Yellow)","Page 62","","»AUTOUNFALL!«, donnerte Hagrid und sprang so wütend auf, dass die Dursleys sich in ihre Ecke verdrückten. »Wie könnten Lily und James Potter in einem Auto ums Leben kommen? Das ist eine Schande! Ein Skandal! Harry Potter kennt nicht mal seine eigene Geschichte, wo doch jedes Kind in unserer Welt seinen Namen weiß!«"
"Highlight (Yellow)","Page 62","","drängend."
"Highlight (Yellow)","Page 62","","Der Zorn wich aus Hagrids Gesicht. Plötzlich schien er etwas zu fürchten."
"Highlight (Yellow)","Page 62","","»Nun ja, ich nenn den Namen lieber nicht, wenn’s nicht unbedingt sein muss. Keiner tut’s.«"
"Highlight (Yellow)","Page 63","","Hagrid würgte, aber kein Wort kam hervor."
"Highlight (Yellow)","Page 63","","»Nöh – kann ihn nicht buchstabieren."
"Highlight (Yellow)","Page 63","","»Zwing mich nicht, das noch mal zu sagen. Jedenfalls, dieser – dieser Zauberer hat vor etwa zwanzig Jahren begonnen, sich Anhänger zu suchen."
"Highlight (Yellow)","Page 63","","Er hat die Macht übernommen."
"Highlight (Yellow)","Page 63","","Für mich ist es ein großes Rätsel, warum Du-weißt-schon-wer nie versucht hat, sie auf seine Seite zu bringen"
"Highlight (Yellow)","Page 64","","Das war kein gewöhnlicher Schnitt. Das kriegst du, wenn ein mächtiger, böser Fluch dich berührt – hat sogar bei deiner Mum und deinem Dad und deinem Haus geklappt – aber nicht bei dir, und darum bist du berühmt, Harry."
"Highlight (Yellow)","Page 65","","»Jetzt hörst du mir mal zu, Kleiner«, schnauzte er. »Mag sein, dass es etwas Seltsames mit dir auf sich hat, vermutlich nichts, was nicht durch ein paar saftige Ohrfeigen hätte kuriert werden können – und was diese Geschichte mit deinen Eltern angeht, nun, sie waren eben ziemlich verrückt, und die Welt ist meiner Meinung nach besser dran ohne sie."
"Highlight (Yellow)","Page 65","","Doch in diesem Augenblick sprang Hagrid vom Sofa und zog einen zerfledderten rosa Schirm aus seinem Umhang."
"Highlight (Yellow)","Page 66","","Manche sagen, er sei gestorben."
"Highlight (Yellow)","Page 66","","Stuss, wenn du mich fragst. Weiß nicht, ob er noch genug Menschliches in sich hatte, um sterben zu können."
"Highlight (Yellow)","Page 66","","Denn etwas an dir, Harry, hat ihm den Garaus gemacht. In jener Nacht geschah etwas, mit dem er nicht gerechnet hatte – weiß nicht, was es war, keiner weiß es –, aber etwas an dir hat er nicht gepackt, und das war’s.«"
"Highlight (Yellow)","Page 66","","schikaniert"
"Highlight (Yellow)","Page 66","","in warzige Kröten verwandelt?"
"Highlight (Yellow)","Page 67","","Manchmal, wenn er mit diesem lächerlichen Haarschnitt partout nicht hatte zur Schule gehen wollen, hatte er es geschafft, dass sein Haar rasch nachwuchs"
"Highlight (Yellow)","Page 67","","Harry wandte sich erneut Hagrid zu und lächelte, und er sah, dass Hagrid ihn geradezu anstrahlte."
"Highlight (Yellow)","Page 67","","wart nur ab, und du wirst noch ganz berühmt in Hogwarts.«"
"Highlight (Yellow)","Page 67","","»Lily und James Potters Sohn von Hogwarts fernhalten! Du bist ja verrückt. Sein Name ist vorgemerkt, schon seit seiner Geburt."
"Highlight (Yellow)","Page 67","","Er wird dort mit jungen Leuten seinesgleichen zusammen sein, zur Abwechslung mal, und er wird unter dem größten Schulleiter lernen, den Hogwarts je gesehen hat, Albus Dumbled–«"
"Highlight (Yellow)","Page 68","","Doch nun war er endgültig zu weit gegangen."
"Highlight (Yellow)","Page 68","","»BELEIDIGE NIE – ALBUS DUMBLEDORE – IN MEINER GEGENWART!«"
"Highlight (Yellow)","Page 68","",", und schon begann Dudley einen Tanz aufzuführen, mit den Händen auf dem dicken Hintern und heulend vor Schmerz."
"Highlight (Yellow)","Page 68","","Onkel Vernon tobte."
"Highlight (Yellow)","Page 68","","Er zog Tante Petunia und Dudley in den anderen Raum, warf Hagrid einen letzten, angsterfüllten Blick zu und schlug die Tür hinter sich zu."
"Highlight (Yellow)","Page 68","","»Hätt die Beherrschung nicht verlieren dürfen«, sagte er reuevoll, »aber es hat ohnehin nicht geklappt."
"Highlight (Yellow)","Page 68","","Unter seinen buschigen Augenbrauen hervor blickte er Harry von der Seite an."
"Highlight (Yellow)","Page 68","","»Wär dir dankbar, wenn du das niemandem in Hogwarts erzählst«,"
"Highlight (Yellow)","Page 69","","»Nun ja – ich war selbst in Hogwarts, doch ich – ähm – man hat mich rausgeworfen, um dir die Wahrheit zu sagen."
"Highlight (Yellow)","Page 69","","Doch Dumbledore hat mich als Wildhüter dabehalten. Großartiger Mann, Dumbledore.«"
"Highlight (Yellow)","Page 69","","»Es wird spät und wir haben morgen viel zu erledigen«,"
"Highlight (Yellow)","Page 69","","»Kannst drunter pennen«, sagte er. »Mach dir nichts draus, wenn’s da drin ein wenig zappelt, ich glaub, ich hab immer noch ein paar Haselmäuse in den Taschen.«"
"Highlight (Yellow)","Page 70","","von nun an werde ich eine Schule für Zauberer besuchen."
"Highlight (Yellow)","Page 70","","»Ich steh ja schon auf.«"
"Highlight (Yellow)","Page 70","","Hagrid selbst schlief auf dem zusammengebrochenen Sofa, und eine Eule, eine Zeitung in den Schnabel geklemmt, tappte mit ihrer Kralle gegen das Fenster."
"Highlight (Yellow)","Page 70","","Harry rappelte sich auf."
"Highlight (Yellow)","Page 70","","Er schlief jedoch munter weiter."
"Highlight (Yellow)","Page 71","","Hagrids Umhang schien aus nichts als Taschen zu bestehen: Schlüsselbunde, Musketenkugeln, Bindfadenröllchen, Pfefferminzbonbons, Teebeutel … Schließlich zog er eine Hand voll merkwürdig aussehender Münzen hervor."
"Highlight (Yellow)","Page 71","","»Gib ihr fünf Knuts«, sagte Hagrid schläfrig. »Knuts?« »Die kleinen aus Bronze.«"
"Highlight (Yellow)","Page 71","","Hagrid gähnte laut, richtete sich auf und reckte genüsslich die Glieder."
"Highlight (Yellow)","Page 71","","»Wir brechen am besten gleich auf, Harry, haben heute ’ne Menge zu erledigen."
"Highlight (Yellow)","Page 71","","Pikser"
"Highlight (Yellow)","Page 71","","»Mm?« Hagrid zog gerade seine riesigen Stiefel an."
"Highlight (Yellow)","Page 72","","er wird nicht dafür bezahlen, dass ich fortgehe und Zaubern lerne.«"
"Highlight (Yellow)","Page 72","","»Glaubst du etwa, deine Eltern hätten dir nichts hinterlassen?«"
"Highlight (Yellow)","Page 72","","»Nur die eine. Gringotts. Wird von Kobolden geführt.«"
"Highlight (Yellow)","Page 72","","Auftrag von Dumbledore. Geschäftliches für Hogwarts.«"
"Highlight (Yellow)","Page 72","","»Wie bist du hergekommen?«, fragte Harry und sah sich nach einem zweiten Boot um."
"Highlight (Yellow)","Page 73","","»Es gibt ein Ministerium für Zauberei?«, platzte Harry los."
"Highlight (Yellow)","Page 74","","Gibt keinen größeren Stümper. Schickt also Dumbledore jeden Morgen ein Dutzend Eulen und fragt ihn um Rat.«"
"Highlight (Yellow)","Page 74","","»Aber was tut ein Zaubereiministerium?«"
"Highlight (Yellow)","Page 74","","»Nun, seine Hauptaufgabe ist, vor den Muggels geheim zu halten, dass es landauf, landab immer noch Hexen und Zauberer gibt.«"
"Highlight (Yellow)","Page 74","","»Warum? Meine Güte, Harry, die wären doch ganz scharf darauf, dass wir ihre Schwierigkeiten mit magischen Kräften lösen. Nö, die sollen uns mal in Ruhe lassen.«"
"Highlight (Yellow)","Page 74","","Hagrid faltete die Zeitung zusammen und sie stiegen die Steintreppe zur Straße empor."
"Highlight (Yellow)","Page 75","","Im Zug glotzten die Leute noch mehr. Hagrid, der zwei Sitzplätze brauchte, strickte während der Fahrt an etwas, das aussah wie ein kanariengelbes Zirkuszelt. »Hast deinen Brief noch, Harry?«, fragte er,"
"Highlight (Yellow)","Page 75","","Harry zog den Pergamentumschlag aus der Tasche."
"Highlight (Yellow)","Page 75","","Lehrbücher Alle Schüler sollten jeweils ein Exemplar der folgenden Werke besitzen: – Miranda Habicht: Lehrbuch der Zaubersprüche, Band 1 – Bathilda Bagshot: Geschichte der Zauberei – Adalbert Schwahfel: Theorie der Magie – Emeric Wendel: Verwandlungen für den Anfänger – Phyllida Spore: Tausend Zauberkräuter und -pilze – Arsenius Bunsen: Zaubertränke und Zauberbräue – Newt Scamander: Phantastische Tierwesen und wo sie zu finden sind – Quirin Sumo: Dunkle Kräfte. Ein Kurs zur Selbstverteidigung"
"Highlight (Yellow)","Page 76","","Ferner werden benötigt: – 1 Zauberstab – 1 Kessel (Zinn, Normgröße 2) – 1 Sortiment Glas- oder Kristallfläschchen – 1 Teleskop – 1 Waage aus Messing   Es ist den Schülern zudem freigestellt, eine Eule ODER eine Katze ODER eine Kröte mitzubringen."
"Highlight (Yellow)","Page 76","","DIE ELTERN SEIEN DARAN ERINNERT, DASS ERSTKLÄSSLER KEINE EIGENEN BESEN BESITZEN DÜRFEN."
"Highlight (Yellow)","Page 76","","Er verhedderte sich im Drehkreuz zur Untergrundbahn und beschwerte sich laut, die Sitze seien zu klein und die Züge zu lahm."
"Highlight (Yellow)","Page 76","","»Keine Ahnung, wie die Muggels zurechtkommen ohne Zauberei«, meinte er, als sie eine kaputte Rolltreppe emporkletterten, die auf eine belebte, mit Läden gesäumte Straße führte."
"Highlight (Yellow)","Page 77","","Sie gingen an Buchhandlungen und Musikläden vorbei, an Schnellimbissen und Kinos, doch nirgends sah es danach aus, als ob es Zauberstäbe zu kaufen gäbe."
"Highlight (Yellow)","Page 77","","Doch obwohl alles, was Hagrid ihm bisher erzählt hatte, schlicht unfassbar war, konnte er einfach nicht anders, als ihm zu vertrauen."
"Highlight (Yellow)","Page 77","","Den Laden kennt jeder.«"
"Highlight (Yellow)","Page 77","","Es war ein kleiner, schmuddelig wirkender Pub."
"Highlight (Yellow)","Page 77","","Für einen berühmten Ort war es hier sehr dunkel und schäbig."
"Highlight (Yellow)","Page 77","","sprach mit dem alten Wirt, der vollkommen kahlköpfig war und aussah wie eine klebrige Walnuss. Als sie eintraten, verstummte das leise Summen der Gespräche."
"Highlight (Yellow)","Page 78","","»Heute nicht, Tom, bin im Auftrag von Hogwarts unterwegs«, sagte Hagrid und versetzte Harry mit seiner großen Hand einen Klaps auf die Schulter, der ihn in die Knie gehen ließ."
"Highlight (Yellow)","Page 78","","mucksmäuschenstill"
"Highlight (Yellow)","Page 78","","»Harry Potter … welch eine Ehre.«"
"Highlight (Yellow)","Page 78","","mir ist ganz schwindelig.«"
"Highlight (Yellow)","Page 78","","»Sie haben sich einmal in einem Laden vor mir verneigt.«"
"Highlight (Yellow)","Page 78","","Er erinnert sich an mich!«"
"Highlight (Yellow)","Page 79","","Er wirkte sehr fahrig;"
"Highlight (Yellow)","Page 79","","Schon bei dem bloßen Gedanken daran sah er furchtbar verängstigt drein."
"Highlight (Yellow)","Page 79","","Hagrid grinste Harry zu."
"Highlight (Yellow)","Page 79","","nun ja, er zittert fast ständig.«"
"Highlight (Yellow)","Page 79","","»O ja. Armer Kerl. Genialer Kopf. Ging ihm gut, als er nur die Bücher studierte, doch dann hat er sich ein Jahr freigenommen, um ein wenig Erfahrung zu sammeln"
"Highlight (Yellow)","Page 80","","Der Stein, auf den er geklopft hatte, erzitterte, wackelte und in der Mitte erschien ein kleiner Spalt."
"Highlight (Yellow)","Page 80","","»Willkommen in der Winkelgasse«, sagte Hagrid. Harrys verblüffter Blick ließ ihn verschmitzt lächeln."
"Highlight (Yellow)","Page 80","","Sie traten durch den Torbogen."
"Highlight (Yellow)","Page 81","","kopfschüttelnd:"
"Highlight (Yellow)","Page 81","","Gedämpftes Eulengeschrei drang aus einem dunklen Laden."
"Highlight (Yellow)","Page 81","","Eulenkaufhaus – Waldkäuze, Zwergohreulen, Steinkäuze, Schleiereulen, Schneeeulen."
"Highlight (Yellow)","Page 81","","Es gab Schaufenster, die vollgestopft waren mit Fässern voller Fledermausmilzen und Aalaugen, wacklig gestapelten Zauberspruchfibeln, Federkielen, Pergamentrollen, Zaubertrankflaschen, Mondgloben"
"Highlight (Yellow)","Page 81","","Neben dem blank polierten Bronzetor, in einer scharlachroten und goldbestickten Uniform stand ein –"
"Highlight (Yellow)","Page 81","","Der Kobold war etwa einen Kopf kleiner als Harry."
"Highlight (Yellow)","Page 81","","Er hatte ein dunkelhäutiges, kluges Gesicht, einen Spitzbart und, wie Harry auffiel, sehr lange Finger und große Füße."
"Highlight (Yellow)","Page 82","","Fremder, komm du nur herein, Hab Acht jedoch und bläu’s dir ein, Wer der Sünde Gier will dienen Und will nehmen, nicht verdienen, Der wird voller Pein verlieren. Wenn du suchst in diesen Hallen Einen Schatz, dem du verfallen, Dieb, sei gewarnt und sage dir, Mehr als Gold harrt deiner hier."
"Highlight (Yellow)","Page 82","","Um die hundert Kobolde saßen auf hohen Schemeln hinter einem langen Schalter, kritzelten Zahlen in große Folianten, wogen auf Messingwaagen Münzen ab und prüften Edelsteine mit unter die Brauen geklemmten Uhrmacherlupen."
"Highlight (Yellow)","Page 82","","andere Kobolde geleiteten Leute herein und hinaus. Hagrid und Harry traten vor den Schalter."
"Highlight (Yellow)","Page 82","","»Wir sind hier, um ein wenig Geld aus Mr Harry Potters Safe zu entnehmen.«"
"Highlight (Yellow)","Page 82","","Eierkohlen."
"Highlight (Yellow)","Page 83","","»Was ist der Du-weißt-schon-was in Verlies siebenhundertunddreizehn?«, fragte Harry. »Darf ich nicht sagen«, meinte Hagrid geheimnistuerisch. »Streng geheim. Hat mit Hogwarts zu tun. Dumbledore vertraut mir. Lohnt sich nicht, meinen Job zu riskieren und es dir zu sagen.«"
"Highlight (Yellow)","Page 83","","Griphook hielt die Tür für sie auf. Harry, der noch mehr Marmor erwartet hatte, war überrascht."
"Highlight (Yellow)","Page 83","","In den Boden waren schmale Bahngeleise eingelassen, die steil in die Tiefe führten."
"Highlight (Yellow)","Page 83","","Zuerst fuhren sie durch ein Gewirr sich überkreuzender Gänge."
"Highlight (Yellow)","Page 84","","Sie drangen weiter in die Tiefe vor und passierten einen unterirdischen See, bei dem riesige Stalaktiten und Stalagmiten von der Decke und aus dem Boden wucherten."
"Highlight (Yellow)","Page 84","","Stalaktiten und Stalagmiten ist.«"
"Highlight (Yellow)","Page 84","","unterirdischen"
"Highlight (Yellow)","Page 84","","Im Innern lagen hügelweise Goldmünzen. Stapelweise Silbermünzen. Haufenweise kleine bronzene Knuts."
"Highlight (Yellow)","Page 84","","»Alles dein«, sagte Hagrid lächelnd."
"Highlight (Yellow)","Page 84","","»Die goldenen sind Galleonen«, erklärte er. »Siebzehn Silbersickel sind eine Galleone und neunundzwanzig Knuts sind eine Sickel."
"Highlight (Yellow)","Page 85","","Verlies siebenhundertunddreizehn hatte kein Schlüsselloch."
"Highlight (Yellow)","Page 85","","achtungheischender"
"Highlight (Yellow)","Page 85","","die einfach wegschmolz."
"Highlight (Yellow)","Page 86","","Es ist besser, wenn ich den Mund geschlossen halte«,"
"Highlight (Yellow)","Page 86","","Nach einer weiteren haarsträubenden Fahrt auf dem Karren standen sie endlich wieder draußen vor Gringotts und blinzelten in das Sonnenlicht."
"Highlight (Yellow)","Page 86","","Er musste nicht wissen, wie viel Galleonen ein englisches Pfund ausmachten, um sich bewusst zu sein, dass er noch nie im Leben so viel Geld besessen hatte – mehr Geld, als selbst Dudley jemals gehabt hatte."
"Highlight (Yellow)","Page 86","","»Hör mal, Harry, würd es dir was ausmachen, wenn ich mir einen kleinen Magenbitter im Tropfenden Kessel genehmige? Ich hasse die Fuhrwerke bei Gringotts.«"
"Highlight (Yellow)","Page 86","","Er sah immer noch etwas bleich aus."
"Highlight (Yellow)","Page 86","","Madam Malkin war eine stämmige, lächelnde Hexe, die von Kopf bis Fuß malvenfarben gekleidet war."
"Highlight (Yellow)","Page 86","","Hinten im Laden stand auf einem Schemel ein Junge mit blassem, spitzem Gesicht, und eine zweite Hexe steckte seinen langen schwarzen Umhang mit Nadeln ab."
"Highlight (Yellow)","Page 87","","»Mein Vater ist nebenan und kauft die Bücher, und Mutter ist ein paar Läden weiter und sucht nach Zauberstäben«,"
"Highlight (Yellow)","Page 87","","Er sprach mit gelangweilter, schleppender Stimme."
"Highlight (Yellow)","Page 87","","»Danach werd ich sie mitschleifen und mir einen Rennbesen aussuchen. Ich seh nicht ein, warum Erstklässler keinen eigenen haben dürfen."
"Highlight (Yellow)","Page 87","","»Ach herrje, schau dir mal diesen Mann an!«, sagte der Junge plötzlich und deutete auf das Schaufenster."
"Highlight (Yellow)","Page 88","","Er ist ein Knecht oder so was, nicht wahr?« »Er ist der Wildhüter«, sagte Harry. Er konnte den Jungen mit jeder Sekunde weniger ausstehen."
"Highlight (Yellow)","Page 88","","»Ich halte ihn für brillant«, sagte Harry kühl. »Tatsächlich?«, sagte der Junge mit einer Spur Häme. »Warum ist er mit dir zusammen? Wo sind deine Eltern?«"
"Highlight (Yellow)","Page 88","","»Sie war eine Hexe und er ein Zauberer, falls du das meinst.« »Ich halte"
"Highlight (Yellow)","Page 88","","Stell dir vor, manche von ihnen wissen nicht einmal von Hogwarts, bis sie ihren Brief bekommen."
"Highlight (Yellow)","Page 88","","sagte der Junge mit der schleppenden Stimme."
"Highlight (Yellow)","Page 89","","Recht wortkarg schleckte Harry das Eis, das Hagrid ihm gekauft hatte"
"Highlight (Yellow)","Page 89","","»Was ist los?«, sagte Hagrid. »Nichts«, log Harry."
"Highlight (Yellow)","Page 89","","– du hast die Zauberer im Tropfenden Kessel gesehen."
"Highlight (Yellow)","Page 89","","Es gibt vier davon."
"Highlight (Yellow)","Page 89","","»Ich wette, ich komme nach Hufflepuff«, sagte Harry bedrückt. »Besser Hufflepuff als Slytherin«, sagte Hagrid mit düsterer Stimme. »Die Hexen und Zauberer, die böse wurden, waren allesamt in Slytherin. Du-weißt-schon-wer war einer davon.«"
"Highlight (Yellow)","Page 90","","»Das ist ewig lange her«,"
"Highlight (Yellow)","Page 90","","»Ich möchte rausfinden, wie ich Dudley verhexen kann.«"
"Highlight (Yellow)","Page 90","","»Keine schlechte Idee, würd ich meinen, aber du sollst in der Muggelwelt nicht zaubern, außer wenn’s brenzlig wird«,"
"Highlight (Yellow)","Page 90","","Hier stank es zwar fürchterlich nach einer Mischung aus faulen Eiern und verrottetem Kohl, doch es gab viele interessante Dinge zu sehen."
"Highlight (Yellow)","Page 91","","von der Decke hingen Federbüschel, an Schnüren aufgezogene Reißzähne und Krallenbündel."
"Highlight (Yellow)","Page 91","","Keine Kröte, Kröten sind schon seit Jahren nicht mehr angesagt, man würde dich auslachen – und ich mag keine Katzen, von denen muss ich niesen. Ich kauf dir eine Eule."
"Highlight (Yellow)","Page 91","","Unablässig stammelte er seinen Dank und klang dabei genau wie Professor Quirrell."
"Highlight (Yellow)","Page 91","","»Nicht der Rede wert«,"
"Highlight (Yellow)","Page 92","","Ein Zauberstab … darauf war Harry am meisten gespannt."
"Highlight (Yellow)","Page 92","","Der Laden war eng und schäbig."
"Highlight (Yellow)","Page 92","","Allein der Staub und die Stille hier schienen ihn mit einem geheimen Zauber zu kitzeln."
"Highlight (Yellow)","Page 92","","»Hallo«, sagte Harry verlegen."
"Highlight (Yellow)","Page 93","","geschmeidig,"
"Highlight (Yellow)","Page 93","","gruslig."
"Highlight (Yellow)","Page 93","","»Ihr Vater hingegen wollte lieber einen Zauberstab aus Mahagoni. Elf Zoll. Elastisch. Ein wenig mehr Kraft und hervorragend geeignet für Verwandlungen. Nun ja, ich sage, Ihr Vater wollte ihn – im Grunde ist es natürlich der Zauberstab, der sich den Zauberer aussucht.«"
"Highlight (Yellow)","Page 93","","Mr Ollivander berührte die blitzförmige Narbe auf Harrys Stirn mit einem langen, weißen Finger."
"Highlight (Yellow)","Page 93","","Eiche, sechzehn Zoll, recht biegsam, nicht wahr?«"
"Highlight (Yellow)","Page 93","","»Guter Stab, muss ich sagen."
"Highlight (Yellow)","Page 94","","»Ähm – ich bin Rechtshänder«, sagte Harry."
"Highlight (Yellow)","Page 94","","Er maß Harry von der Schulter bis zu den Fingerspitzen, dann vom Handgelenk zum Ellenbogen, von der Schulter bis zu den Füßen, vom Knie zur Armbeuge und schließlich von Ohr zu Ohr."
"Highlight (Yellow)","Page 94","","Wir benutzen Einhornhaare, Schwanzfedern von Phönixen und die Herzfasern von Drachen."
"Highlight (Yellow)","Page 94","","Mr Ollivander huschte zwischen den Regalen herum und nahm Schachteln herunter."
"Highlight (Yellow)","Page 94","","»Das wird reichen«, sagte er und das Bandmaß schnurrte zu einem Haufen auf dem Boden zusammen. »Nun gut, Mr Potter. Probieren Sie mal diesen."
"Highlight (Yellow)","Page 94","","Neun Zoll. Handlich und biegsam. Nehmen Sie"
"Highlight (Yellow)","Page 95","","»Ahorn und Phönixfeder. Sieben Zoll. Peitscht so richtig. Versuchen Sie’s!« Harry versuchte es, doch kaum hatte er den Zauberstab erhoben, entriss ihm Mr Ollivander auch diesen."
"Highlight (Yellow)","Page 95","","Nur zu, nur zu, probieren Sie ihn aus.«"
"Highlight (Yellow)","Page 95","","Harry probierte. Und probierte. Er hatte keine Ahnung, worauf Mr Ollivander eigentlich wartete."
"Highlight (Yellow)","Page 95","","Der Stapel mit den abgelegten Zauberstäben auf dem storchbeinigen Stuhl wuchs immer höher, doch je mehr Zauberstäbe Mr Ollivander von den Regalen zog, desto glücklicher schien er zu werden."
"Highlight (Yellow)","Page 95","","Stechpalme und Phönixfeder, elf Zoll, handlich und geschmeidig.«"
"Highlight (Yellow)","Page 95","","Harry ergriff den Zauberstab."
"Highlight (Yellow)","Page 95","","Er hob den Stab über den Kopf und ließ ihn durch die staubige Luft herabsausen."
"Highlight (Yellow)","Page 95","","Hagrid johlte und klatschte, und Mr Ollivander rief:"
"Highlight (Yellow)","Page 95","","»Verzeihung«,"
"Highlight (Yellow)","Page 96","","»Ich erinnere mich an jeden Zauberstab, den ich je verkauft habe, Mr Potter. An jeden einzelnen."
"Highlight (Yellow)","Page 96","","Er-dessen-Name-nicht-genannt-werden-darf"
"Highlight (Yellow)","Page 96","","Harry schauderte."
"Highlight (Yellow)","Page 97","","»Haben noch Zeit für einen Imbiss, bevor dein Zug geht«, sagte er."
"Highlight (Yellow)","Page 97","","Er kaufte für sich und Harry zwei Hamburger, und sie setzten sich auf die Plastiksitze, um sie zu verspeisen."
"Highlight (Yellow)","Page 97","","Und doch, er kaute an seinem Hamburger und versuchte die richtigen Worte zu finden."
"Highlight (Yellow)","Page 97","","»Alle denken, ich sei etwas Besonderes«, sagte er endlich. »All diese Leute im Tropfenden Kessel, Professor Quirrell, Mr Ollivander … Aber ich weiß überhaupt nichts von Zauberei."
"Highlight (Yellow)","Page 97","","Hagrid beugte sich über den Tisch."
"Highlight (Yellow)","Page 97","","Du wirst alles noch schnell genug lernen."
"Highlight (Yellow)","Page 97","","Sei einfach du selbst. Ich weiß, es ist schwer. Du bist auserwählt worden und das ist immer schwer."
"Highlight (Yellow)","Page 97","","wie ich damals – und heute noch, um genau zu sein.«"
"Highlight (Yellow)","Page 98","","»Deine Fahrkarte nach Hogwarts«, sagte er. »Am 1. September Bahnhof King’s Cross – steht alles drauf."
